	Num	Season	1-1(Seminar)	2-1(Experiment)	2-2(Experiment)	2-3(Experiment)	3-1(Presentation)	3-2(Presentation)	3-3(Presentation)	4-1(Paper)	4-2(Paper)	4-3(Paper)	5-1(Report)	5-2(Report)	5-3(Report)	6-1(Employ)	6-2(Employ)	Trend	player0_T1_Score	player1_T1_Score	player0_T2_Score	player1_T2_Score	player0_T3_Score	player1_T3_Score	player0_Money	player0_ReserchPoint	player0_TotalScore	player1_Money	player1_ReserchPoint	player1_TotalScore
0	0	start	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	5	0	0	5	0	0
1	5	1a	[P0, P1]	[S0]	[S1]	null	null	null	null	null	null	null	null	null	null	null	null	T0	0	0	0	0	0	0	3	5	0	3	6	0
2	11	1b	[P0]	[S1]	null	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	4	0	0	0	0	0	1	3	4	3	9	0
3	17	2a	[P1]	[S0]	null	null	[S1]	null	null	null	null	null	[P0]	null	null	null	null	T0	4	0	0	2	0	0	6	6	4	2	9	2
4	23	2b	[P0, P1]	[S0]	null	null	null	[S1]	null	null	null	null	null	null	null	null	null	T0	4	0	0	6	0	0	3	11	4	0	7	6
5	29	3a	[P1, P0]	null	null	null	[S0]	[S1]	null	null	null	null	null	null	null	null	null	T0	4	0	0	6	2	4	2	11	6	3	5	10
6	35	3b	null	[S1]	null	null	[S0]	[P0]	null	null	null	null	[P1]	null	null	null	null	T0	4	0	0	6	7	4	0	5	11	3	8	10
7	41	4a	null	[S1]	[P0]	null	null	[S0]	null	null	null	null	[P1]	null	null	null	null	T0	8	0	0	6	7	4	1	5	15	3	11	10
8	47	4b	[S0]	null	null	null	[S1]	null	[P1]	null	null	null	[P0]	null	null	null	null	T0	8	9	0	6	7	4	3	5	15	1	1	19
9	53	5a	[P0, P1]	[S1]	null	null	[S0]	null	null	null	null	null	null	null	null	null	null	T0	8	9	2	6	7	4	2	5	17	3	6	19
10	59	5b	[P1]	null	null	null	[S1]	[S0]	null	null	null	null	[P0]	null	null	null	null	T0	8	9	6	8	7	4	3	1	21	2	6	21
11	65	6a	null	[S0]	[P1]	null	null	[S1]	null	null	null	null	[P0]	null	null	null	null	T0	8	9	6	8	7	8	3	4	21	3	6	25
12	72	6b	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	T0	8	9	6	8	11	10	1	2	25	2	6	27
